variant,complexity,n_feat,ID,MIMIC-BP,BCG,Sensors,UCI2,PPG-BP
default (83 feat),800 trees x 63 leaves,83,8.09737697040549,14.900635458877973,9.645461660613595,8.82602922158834,9.46073991238681,9.148300433869705
Optuna-tuned (83 feat),"479,790 leaves (tuned)",83,8.281964656435212,15.699735034157179,9.304444832413834,8.90143588682922,9.485594291437383,9.763414355634923
SFS-selected (19 feat),"50,400 leaves",19,8.169926870869599,13.67600200105934,8.180262388864982,8.843019914041776,9.090617567254732,9.6022918064415
single tree (12 feat),"1 tree, 32 leaves",12,8.840743212622284,13.27543308605954,8.474479028888137,8.276940270273753,8.822760708698574,9.969623903687475
